model,brier,log_loss,ece,roc_auc,pr_auc,top_k_avg_realized_pnl,top_k_hit_rate
LSTM,0.010187768076148882,0.05114451204853148,0.038477859297745214,0.9996596072292553,0.9981112462329884,-0.1024699993012473,0.0
HistBoost,0.004594358999036054,0.017703765784123,0.007620674898835214,0.9997156114005468,0.9987712743102263,0.11016000375151634,0.77
CatBoost,0.004205641807517397,0.014312091918626552,0.007786540149956237,0.9999254571862185,0.999396983983268,0.11286500036716461,0.99
Mercado,0.0061812073153345365,0.022102250843382926,0.014829006291899899,0.9999640874464855,0.9998416567807198,,
